time	line	meanprop_ATAC	meanprop_k27	meanprop_k4	meanprop_RNA	padj_ATAC	padj_k27	padj_k4	padj_RNA
24h	vgn028	0.562269712601326	0.550298310103317	0.440716081736728	0.482984639830508	0.445903997611341	0.880537594411468	0.920601146724777	0.878262227976456
24h	vgn639	0.528064197973639	0.525009743226062	0.504893279372583	0.961672787033927	0.6951996318804	0.975053145201176	1	0
24h	vgn307	0.51909181771804	0.509024672375122	0.550855212986164	0.476190476190476	0.836297810380659	1	0.978132578929726	0.801355820588876
24h	vgn307	0.56947103550134	0.548824718566672	0.625916961459691	0.598560700876095	0.142424879088391	0.888823824451421	0.347917706707253	0.235799460690859
24h	vgn639	0.5721940214326	0.512743309002433	0.63490990990991	0.619978858350951	0.266366922096136	1	0.424036279522636	0.322522852764261
24h	vgn399	0.536408424016025	0.479628176922872	0.506332269644994	0.575226130653266	0.62211611352912	0.988860073920858	1	0.0358390856334581
24h	vgn057	0.479852796737657	0.467945463295803	0.483827493261456	0.572039013084834	0.876483998409909	0.952611166528064	1	0.0432191014832865
24h	vgn028	0.496063209262103	0.499091666861652	0.478562074458737	0.492186808322266	0.987709861413663	1	1	0.89798261444851
24h	vgn307	0.49694808538182	0.364660953800298	0.400700519166489	0.479745300181928	0.988230055618453	0.347668616533351	0.578378897640503	0.809321869935974
24h	vgn712	0.490531400966184	0.492515474063139	0.407962697274032	0.658377837116155	0.969806827565187	1	0.740474032958051	0.896342793398064
24h	vgn028	0.522956905869637	0.490278164374919	0.495237951928093	0.447794956528581	0.737770243265734	1	1	0.244364791202718
24h	vgn028	0.509587020648968	0.517928858290304	0.446602939664919	0.43972602739726	0.999573732990783	0.995764606932592	0.950585747600553	0.484077809182711
24h	vgn057	0.487742130750605	0.527037720917964	0.586001255492781	0.492063492063492	0.958821564111797	0.973379297499587	0.905917467305037	0.924779514748703
24h	vgn057	0.55168502562984	0.547268907563025	0.515004022526146	0.555741360089186	0.374682715058761	0.91150162708007	1	0.604556749751028
24h	vgn639	0.553656597774245	0.480795057749127	0.599745331069609	0.804545454545454	0.372258492148471	0.996909668242578	0.745200038225839	8.00131519030501e-06
24h	vgn307	0.45111557340473	0.545566775786495	0.347404905794525	0.49225173940544	0.739109149370224	0.907661667140058	0.367183812110231	0.92175644957218
24h	vgn057	0.431431790316058	0.515763213318624	0.507987071655443	0.5	0.0373675554197274	0.999598046278203	1	1
24h	vgn028	0.481682242990654	0.480656316160903	0.482885824866957	0.464095744680851	0.949761789621836	0.988715167738062	1	0.811650215459377
24h	vgn057	0.509095486512365	0.522493579801165	0.49166382640309	0.544513457556936	0.907599269061487	0.991920215271463	1	0.784121224647602
24h	vgn028	0.557635175282234	0.484271284271284	0.515896396703222	0.594483568075117	0.538592376005835	0.990883645046	1	0.120079123375228
24h	vgn307	0.438368956214982	0.529344073647871	0.431947191589671	0.413717559824739	0.319991454009354	0.969138253130005	0.849217302347562	0.21278739174442
24h	vgn399	0.515310889175258	0.592423355692612	0.456049040018506	0.453799249530957	0.843945436776029	0.611627150750061	0.963118068459619	0.556739812196462
24h	vgn307	0.471935339021105	0.453427424320796	0.519189189189189	0.501190476190476	0.743569612567982	0.898975722135818	1	0.967168309466456
24h	vgn307	0.518882814704868	0.524435366986146	0.517731167795935	0.472651222651223	0.857666042514022	0.978813924722136	1	0.900316818822173
24h	vgn712	0.494685990338164	0.386857142857143	0.693073593073593	0.489417989417989	0.877156051840767	0.390890000319815	0.090737182915623	0.831817461499199
24h	vgn639	0.495530259180655	0.475068765163105	0.531792631938223	0.460988562091503	0.959621934768553	0.974849670158906	1	0.538982804813543
24h	vgn307	0.55621807508704	0.480212234706617	0.559900682805711	0.481083702882483	0.0846534309980706	0.99823187800477	0.906669563805619	0.796767470998519
24h	vgn028	0.388955342902711	0.489819507424202	0.566098545338405	0.534287418008348	0.0614743210620198	1	0.915623519631336	0.76580463591781
24h	vgn307	0.522760368663594	0.504039046310664	0.49472049689441	0.558520563057745	0.676403258184371	1	1	0.0431186337022646
24h	vgn399	0.513338459718443	0.541290994411051	0.565168732782369	0.527110094272011	0.903038095069068	0.919130920125452	0.963016532003695	0.646930155974007
24h	vgn307	0.513141426783479	0.444531835205992	0.500666048882196	0.639784946236559	0.702930371109486	0.868226165274937	1	0.157239041843659
24h	vgn712	0.49953095684803	0.535484853003305	0.589805825242719	0.487195381813955	1	0.943674992918738	0.680929398953625	1
24h	vgn307	0.509702756815032	0.522760206423622	0.494604967031232	0.51393902105551	0.888462214865936	0.980452302237918	1	0.760472211322331
24h	vgn307	0.490355174525413	0.596624819921795	0.310142238713667	0.600412879836862	0.720736018926607	0.765030431461595	0.0998711347791436	0.00377621216333058
24h	vgn057	0.516358820160367	0.474741945573976	0.347222222222222	0.56969696969697	0.884785349548753	0.978676585993132	0.103084912176646	0.542586514055782
24h	vgn307	0.575894849094082	0.522639891705958	0.500430769230769	0.956896551724138	0.035232931573819	0.980452302237918	1	0
24h	vgn639	0.526841608781408	0.473946360153257	0.520272435897436	0.649540229885057	0.787789766242842	0.972581907748222	1	0.0114114365752387
24h	vgn639	0.496008939974457	0.510245089715288	0.667433390837646	0.500561167227834	1	1	0.0960031259355683	1
24h	vgn307	0.51640845914809	0.467979045691696	0.465207780725022	0.505813953488372	0.806668237236697	0.952679117380685	1	0.958669318534913
24h	vgn639	0.442154255319149	0.361616161616162	0.866666666666667	0.430831493745401	0.738326752377405	0.428453722067949	0.000374626595935976	0.190673234493702
24h	vgn712	0.52997723662447	0.500054423545803	0.527284231516515	0.542596261521234	0.536723761210661	1	1	0.194717350370456
24h	vgn399	0.510883544749824	0.507511871297664	0.440893225114597	0.559195402298851	0.956587673760817	1	0.979016035037044	0.541536609153321
24h	vgn057	0.525146318225126	0.488617237063571	0.466023221027139	0.491724738675958	0.85761719661906	1	1	0.821521581290235
24h	vgn028	0.439925198690977	0.538285168378314	0.569586054149005	0.6243961352657	0.803813330422099	0.925273112726031	0.830037496720121	0.0489477147863075
24h	vgn057	0.504019789734075	0.476190476190476	0.423658352229781	0.451851851851852	0.989048301729261	0.994706987974554	1	0.840979104787448
24h	vgn057	0.509303721488595	0.457475083056478	0.468763845813026	0.99144840417919	0.930093020723228	0.898871943468295	1	0
24h	vgn399	0.533625730994152	0.612707266920418	0.648934267021059	0.649386845039019	0.687609391976354	0.416243942292382	0.18198667235982	0.175468157361119
24h	vgn712	0.507233221219997	0.63604797979798	0.472142263161261	0.574446680080483	0.962979556998381	0.275249778959209	1	0.356945452735533
24h	vgn399	0.558282599687629	0.507418905273348	0.533043641365512	0.583313358900607	0.33999883314056	1	1	0.0222061656276535
68h	vgn028	0.395480225988701	0.552330508474576	0.483128834355828	0.488593339248613	0.365628753681384	0.877370556846986	1	0.777745495489549
68h	vgn307	0.493652461018075	0.51688800748067	0.61876449504533	0.566720376566072	0.952637004817766	0.995962990414032	0.383334568638091	0.00232866603546471
68h	vgn028	0.515027322404372	0.526776344218779	0.541666666666667	0.54532403609516	0.911210131001379	0.974403846008179	0.99804291041109	0.660973079218657
68h	vgn639	0.497413205600016	0.513375281394345	0.514757585719014	0.510563789157073	0.9908792661494	1	1	0.80382484090974
68h	vgn712	0.489728539985327	0.511631554409994	0.499023089827318	0.490654705679839	0.894318389573977	1	1	0.821512671466487
68h	vgn639	0.590499337163058	0.504258771929825	0.634036796536797	0.663608562691131	0.123644398343129	1	0.259642286781727	0.000763176587664259
68h	vgn057	0.542615012106538	0.541408070507348	0.525731313670492	0.605062724014337	0.763868969631952	0.921362012011507	1	0.0193831797632726
68h	vgn712	0.521776265715937	0.47598997318966	0.555560819987997	0.501368544851919	0.726580131755038	0.977704856580623	0.911170840073031	0.968872116966398
68h	vgn028	0.503333845575931	0.524606271144698	0.46078431372549	0.390598290598291	0.975948651164141	0.976743468570764	0.992592261256408	0.207292431233728
68h	vgn057	0.511189398836458	0.497875455015663	0.28970818134445	0.509702608384442	0.920069750410606	1	0.0198419128557313	0.829676145685199
68h	vgn399	0.607591265962817	0.58205619412516	0.745579653340301	0.952922077922078	0.00285792719802266	0.645906654719901	0.00191022314356651	0
68h	vgn399	0.532981620149762	0.565278957802322	0.498598484848485	0.573695522934102	0.747997425606003	0.763457347545617	1	0.0741309438899253
68h	vgn028	0.533873066996095	0.460343633154289	0.481071358170708	0.0829933707292198	0.567687489138355	0.927167306247431	1	0
68h	vgn307	0.485072267389341	0.49121021021021	0.483473540408398	0.463452578589407	0.930017991576546	1	1	0.375996802798769
68h	vgn307	0.560295815256835	0.497895226767337	0.523113612238072	0.54617397020947	0.0982839324637371	1	1	0.124313572481587
68h	vgn399	0.518320987654321	0.545742050540313	0.479683366813182	0.468587920361385	0.827116371088825	0.893513079223488	1	0.60954361581656
68h	vgn399	0.542922899884925	0.537194104560623	0.489304534513044	0.515982424161949	0.690606459834579	0.939637695152997	1	0.717900547218425
68h	vgn712	0.576759061833689	0.527348145821884	0.945945945945946	0.518159806295399	0.0204613063510983	0.965977055537536	3.37899683827339e-10	0.750979976717798
68h	vgn028	0.534313725490196	0.463928571428571	0.469324859095815	0.500984177454766	0.836553616739144	0.941598315348863	1	1
